bout_idx,bout_id,stop_num,stop_start_frame,stop_end_frame,stop_duration_ms,height_walk_before,height_during_stop,height_walk_after,speed_walk_before,speed_walk_after,delta_walk_to_stop,delta_stop_to_walk
2,2,1,14655,14668,16.25,2.1867819290161132,2.191392722496619,2.1942910690307613,3.412544693411809,2.181725058852708,0.004610793480505748,0.0028983465341423376
2,2,2,14692,14726,42.5,2.1910072860717773,2.196657225664924,2.182337860107422,2.5683859668985183,2.4965581640407324,0.005649939593146858,-0.014319365557502017
2,2,3,14797,14808,13.75,2.164428260803223,2.145773176713423,2.130860076904297,2.798260772416191,3.691610968186377,-0.018655084089799878,-0.014913099809126251
2,2,4,15270,15280,12.5,2.1931150970458986,2.2080820083618162,2.2166595611572264,6.441208008622439,2.794975461912184,0.014966911315917653,0.00857755279541017
2,2,5,15315,15334,23.75,2.2117210693359377,2.224267196655274,2.225738754272461,3.2961565814805187,2.8600130011483538,0.012546127319336353,0.0014715576171870914
2,2,6,15350,15361,13.75,2.2216732788085936,2.2274875640869145,2.2199959335327146,2.3106067596779867,3.5729017017791924,0.005814285278320952,-0.0074916305541998796
2,2,7,15392,15402,12.5,2.2253355178833005,2.2194125747680666,2.2012996902465822,3.2826061482404043,3.2042281695610435,-0.005922943115233892,-0.018112884521484407
2,2,8,15408,15421,16.25,2.221638092041016,2.197133078941932,2.2011982803344727,3.5928542464273154,3.332072313266864,-0.02450501309908404,0.004065201392540629
2,2,9,15463,15499,45.0,2.2005899963378908,2.2005953470865887,2.214751640319824,3.333967923325055,5.005374305283834,5.350748697896535e-06,0.014156293233235306
2,2,10,15607,15623,20.0,2.1964144821166993,2.2001920461654665,2.2124532928466794,3.0500036215056485,1.9051038918863272,0.003777564048767168,0.012261246681212867
2,2,11,15624,15639,18.75,2.197550254821777,2.2046962483723958,2.2260072042775705,2.30472094653587,3.8129467751207105,0.007145993550618623,0.021310955905174733
4,4,1,43691,43702,13.75,2.1446353378295897,2.1607013355601916,2.175463523864746,6.29767511561289,1.6290921895629384,0.01606599773060191,0.014762188304554336
4,4,2,43716,43758,52.5,2.1564716415405276,2.1771780195690336,2.1459381790161136,2.5837056604029125,3.7712457497438026,0.020706378028505945,-0.03123984055291995
8,8,1,93975,93997,27.5,2.0951259460449223,2.112160543961959,2.1237137145996097,7.011276190792325,2.812544692402058,0.017034597917036542,0.011553170637650823
8,8,2,94088,94111,28.75,2.11445142364502,2.1018449036971383,2.0911396484375,2.091926738647088,1.1060885353246297,-0.012606519947881534,-0.010705255259638058
8,8,3,94112,94140,35.0,2.105423355102539,2.094812706538609,2.0779217987060545,1.6777490001500655,1.844647241049588,-0.010610648563929903,-0.016890907832554536
8,8,4,94142,94178,45.0,2.097255058288574,2.0792713589138456,2.0718232421875,1.1005727400127157,5.140019911983359,-0.017983699374728435,-0.007448116726345599
8,8,5,94362,94374,15.0,2.1171075973510742,2.0955419858296715,2.087665245056152,1.9896459065282137,1.6927394492790804,-0.021565611521402683,-0.007876740773519408
8,8,6,94376,94394,22.5,2.1050859374999997,2.0942947599622936,2.0770905609130863,2.110777190971283,8.075500885980153,-0.010791177537706087,-0.017204199049207336
8,8,7,94401,94421,25.0,2.094426658630371,2.08207145690918,2.086775604248047,1.8364483228607107,22.44750076121319,-0.0123552017211912,0.004704147338867148
9,9,1,108411,108425,17.5,2.0752136764526368,2.1085846764700755,2.0934767761230466,4.040248357513523,1.9441644765674357,0.03337100001743876,-0.015107900347028913
9,9,2,108429,108442,16.25,2.091437210083008,2.0931421133188106,2.084593643188476,2.6494281138049187,1.8652542134384589,0.001704903235802746,-0.00854847013033444
